;
2. Population totale par âge et sexe,  Population totale : 20-39 ans, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,  Population totale : moins de 20 ans, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,  Population totale : 60-74 ans, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,  Population totale : 40-59 ans, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,  Population totale : 75 ans et plus, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe, Population totale, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,    Population totale : 0-4 ans,   - Part (%) / population totale (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,    Population totale : 5-9 ans,   - Part (%) / population totale (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe, Population hommes,   - Part (%) / population totale (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe, Population hommes,   - Part (%) / population hommes (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe, Population femmes,   - Part (%) / population totale (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe, Population femmes,   - Part (%) / population femmes (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe, Population femmes, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,  Population femmes : 20-39 ans,   - Part (%) / population totale (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
2. Population totale par âge et sexe,  Population femmes : 20-39 ans,   - Part (%) / population femmes (ELP);http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
;
;
;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;;
;Pop. totale : 20-39 ans;Pop. totale : 0-19 ans;Pop. totale : 60-74 ans;Pop. totale : 40-59 ans;Pop. totale : 75 ans et +;Pop. totale : ensemble;Pop. totale : 0-4 ans;Pop. totale : 5-9 ans;Pop. hommes : ensemble;Pop. hommes : ensemble;Pop. femmes : ensemble;Pop. femmes : ensemble;Pop. femmes : ensemble;Pop. femmes : 20-39 ans;Pop. femmes : 20-39 ans;;
;ELP : Estimation localisée de population;ELP : Estimation localisée de population;ELP : Estimation localisée de population;ELP : Estimation localisée de population;ELP : Estimation localisée de population;ELP : Estimation localisée de population;- Part (%) / population totale (ELP);- Part (%) / population totale (ELP);- Part (%) / population totale (ELP);- Part (%) / population hommes (ELP);- Part (%) / population totale (ELP);- Part (%) / population femmes (ELP);ELP : Estimation localisée de population;- Part (%) / population totale (ELP);- Part (%) / population femmes (ELP);;
000 France métropolitaine;15480272;15664305;62290644;17194678;5958333;64277242;5,98;6,21;48,48;100,00;51,52;100,00;33116868;12,12;23,53;;
001 France entière;15983034;16359219;64391653;17758118;6063010;66380602;6,04;6,28;48,45;100,00;51,55;100,00;34217178;12,15;23,57;;
D01 Ain;148053p;166683p;91194p;178118p;50125p;634173p;6,44p;6,99p;49,47p;100,00p;50,53p;100,00p;320478p;11,62p;22,99p;;
D02 Aisne;120283p;136487p;85892p;146531p;49550p;538743p;6,14p;6,50p;48,72p;100,00p;51,28p;100,00p;276279p;11,14p;21,71p;;
D03 Allier;65083p;72799p;66744p;93656p;45398p;343680p;4,80p;5,36p;47,96p;100,00p;52,04p;100,00p;178840p;9,50p;18,26p;;
D04 Alpes-de-Haute-Provence;31055p;35545p;31654p;45380p;19290p;162924p;5,00p;5,57p;48,61p;100,00p;51,39p;100,00p;83732p;9,64p;18,75p;;
D05 Hautes-Alpes;28444p;31570p;25594p;39657p;15441p;140706p;5,11p;5,90p;48,87p;100,00p;51,13p;100,00p;71942p;10,02p;19,60p;;
D06 Alpes-Maritimes;244850p;230876p;187699p;288757p;129639p;1081821p;5,28p;5,34p;47,47p;100,00p;52,53p;100,00p;568276p;11,53p;21,95p;;
D07 Ardèche;63072p;73646p;60384p;90087p;36354p;323543p;5,30p;5,96p;48,79p;100,00p;51,21p;100,00p;165696p;9,79p;19,12p;;
D08 Ardennes;61128p;67581p;45766p;77912p;26583p;278970p;5,69p;6,34p;48,83p;100,00p;51,17p;100,00p;142736p;10,92p;21,34p;;
D09 Ariège;29214p;32481p;29382p;42561p;19373p;153011p;4,90p;5,60p;48,88p;100,00p;51,12p;100,00p;78221p;9,46p;18,51p;;
